time,pm2.5,pm10
2021/01/11-14:08:35,1.50,25.50
2021/01/11-14:08:36,1.60,25.60
2021/01/11-14:08:37,1.60,27.30
2021/01/11-14:08:38,1.60,28.40
2021/01/11-14:08:39,1.70,30.70
2021/01/11-14:08:40,1.70,30.70
2021/01/11-14:08:41,1.70,31.10
2021/01/11-14:08:42,1.70,32.10
2021/01/11-14:08:43,1.70,33.10
2021/01/11-14:08:44,1.70,34.50
2021/01/11-14:08:45,1.80,35.20
2021/01/11-14:08:46,1.90,39.60
2021/01/11-14:08:47,1.90,41.00
2021/01/11-14:08:48,2.00,40.90
2021/01/11-14:08:49,1.90,40.40
2021/01/11-14:08:50,2.00,41.60
2021/01/11-14:08:51,2.00,42.40
2021/01/11-14:08:52,2.00,42.10
2021/01/11-14:08:53,2.00,41.50
2021/01/11-14:08:54,2.10,42.80
2021/01/11-14:08:55,2.10,45.80
2021/01/11-14:08:56,2.10,46.60
2021/01/11-14:08:57,2.10,47.50
2021/01/11-14:08:58,2.10,46.70
2021/01/11-14:08:59,2.10,47.50
2021/01/11-14:09:00,2.00,49.30
2021/01/11-14:09:01,2.00,50.80
2021/01/11-14:09:02,2.00,49.20
2021/01/11-14:09:03,1.90,50.40
2021/01/11-14:09:04,1.80,46.20
2021/01/11-14:09:05,1.60,41.90
2021/01/11-14:09:06,1.50,41.80
2021/01/11-14:09:07,1.60,45.00
2021/01/11-14:09:08,1.60,44.90
2021/01/11-14:09:09,1.60,43.10
2021/01/11-14:09:10,1.60,43.70
2021/01/11-14:09:11,1.70,44.50
2021/01/11-14:09:12,1.70,44.60
2021/01/11-14:09:13,1.70,46.30
2021/01/11-14:09:14,1.70,45.50
2021/01/11-14:09:15,1.80,47.10
2021/01/11-14:09:16,1.70,43.70
2021/01/11-14:09:17,1.70,45.10
2021/01/11-14:09:18,1.70,46.30
2021/01/11-14:09:19,1.80,47.70
2021/01/11-14:09:20,1.70,47.00
2021/01/11-14:09:21,1.90,47.10
2021/01/11-14:09:22,1.90,47.50
2021/01/11-14:09:23,1.90,48.20
2021/01/11-14:09:24,1.80,46.80
2021/01/11-14:09:25,1.80,44.50
2021/01/11-14:09:26,1.80,44.10
2021/01/11-14:09:27,1.80,43.70
2021/01/11-14:09:28,1.90,43.80
2021/01/11-14:09:29,1.80,42.40
2021/01/11-14:09:30,1.80,38.80
2021/01/11-14:09:31,1.80,38.30
2021/01/11-14:09:32,1.90,37.40
2021/01/11-14:09:33,1.90,37.50
2021/01/11-14:09:34,1.90,36.60
2021/01/11-14:09:35,1.90,38.70
2021/01/11-14:09:36,2.00,42.10
2021/01/11-14:09:37,1.90,37.40
2021/01/11-14:09:38,1.90,37.30
2021/01/11-14:09:39,1.90,38.70
2021/01/11-14:09:40,1.90,38.90
2021/01/11-14:09:41,1.90,37.90
2021/01/11-14:09:42,1.90,37.40
2021/01/11-14:09:43,1.80,36.30
2021/01/11-14:09:44,1.90,36.60
2021/01/11-14:09:45,1.80,35.40
2021/01/11-14:09:46,1.80,34.30
2021/01/11-14:09:47,1.80,31.70
2021/01/11-14:09:48,1.80,30.90
2021/01/11-14:09:49,1.70,29.10
2021/01/11-14:09:50,1.70,29.70
2021/01/11-14:09:51,1.60,28.90
2021/01/11-14:09:52,1.60,28.60
2021/01/11-14:09:53,1.60,28.20
2021/01/11-14:09:54,1.80,30.30
2021/01/11-14:09:55,1.80,30.40
2021/01/11-14:09:56,1.90,30.50
2021/01/11-14:09:57,1.80,29.90
2021/01/11-14:09:58,1.80,29.90
2021/01/11-14:09:59,1.90,30.60
2021/01/11-14:10:00,2.00,31.70
2021/01/11-14:10:01,1.90,31.00
2021/01/11-14:10:02,1.90,30.90
2021/01/11-14:10:03,1.90,30.20
2021/01/11-14:10:04,2.00,30.90
2021/01/11-14:10:05,2.10,30.40
2021/01/11-14:10:06,2.10,28.60
2021/01/11-14:10:07,2.10,29.10
2021/01/11-14:10:08,2.00,28.10
2021/01/11-14:10:09,2.10,27.30
2021/01/11-14:10:10,2.10,28.30
2021/01/11-14:10:11,2.10,29.30
2021/01/11-14:10:12,2.30,29.60
