time,pm2.5,pm10,fan
2021/01/23-12:19:27,8.40,48.30,3
2021/01/23-12:19:28,8.70,50.70,3
2021/01/23-12:19:29,9.20,52.70,3
2021/01/23-12:19:30,9.80,54.80,3
2021/01/23-12:19:31,10.10,58.70,3
2021/01/23-12:19:32,10.50,61.90,3
2021/01/23-12:19:33,10.80,62.60,3
2021/01/23-12:19:34,11.10,63.60,3
2021/01/23-12:19:35,11.60,65.30,3
2021/01/23-12:19:36,12.20,67.60,3
2021/01/23-12:19:37,12.70,70.80,3
2021/01/23-12:19:38,13.10,73.80,3
2021/01/23-12:19:39,13.60,76.60,3
2021/01/23-12:19:40,14.20,79.60,3
2021/01/23-12:19:41,14.70,81.00,3
2021/01/23-12:19:42,15.50,84.00,3
2021/01/23-12:19:43,15.80,85.30,3
2021/01/23-12:19:44,16.20,85.00,3
2021/01/23-12:19:45,16.60,86.90,3
2021/01/23-12:19:46,16.80,87.20,3
2021/01/23-12:19:47,17.30,88.70,3
2021/01/23-12:19:48,17.60,90.70,3
2021/01/23-12:19:49,17.90,91.00,3
2021/01/23-12:19:50,17.90,90.10,3
2021/01/23-12:19:51,17.80,89.10,3
2021/01/23-12:19:52,17.80,89.20,3
2021/01/23-12:19:53,17.80,91.60,3
2021/01/23-12:19:54,18.00,91.30,3
2021/01/23-12:19:55,18.00,92.10,3
2021/01/23-12:19:56,18.30,90.70,3
2021/01/23-12:19:57,18.50,91.00,3
2021/01/23-12:19:58,18.60,90.40,3
2021/01/23-12:19:59,18.60,90.30,3
2021/01/23-12:20:00,18.30,91.00,3
2021/01/23-12:20:01,18.30,89.40,3
2021/01/23-12:20:02,18.40,90.20,3
2021/01/23-12:20:03,18.40,92.20,3
2021/01/23-12:20:04,18.60,94.10,3
2021/01/23-12:20:05,18.30,93.30,3
2021/01/23-12:20:06,18.10,93.40,3
2021/01/23-12:20:07,18.20,93.30,3
2021/01/23-12:20:08,18.00,91.00,3
2021/01/23-12:20:09,18.00,89.40,3
2021/01/23-12:20:10,17.60,86.80,3
2021/01/23-12:20:11,17.40,86.50,3
2021/01/23-12:20:12,16.90,85.00,3
2021/01/23-12:20:13,16.70,83.70,3
2021/01/23-12:20:14,16.40,83.60,3
2021/01/23-12:20:15,16.20,81.80,3
2021/01/23-12:20:16,16.10,82.50,3
2021/01/23-12:20:17,15.80,81.10,3
2021/01/23-12:20:18,15.60,79.90,3
2021/01/23-12:20:19,15.30,78.30,3
2021/01/23-12:20:20,15.30,77.20,3
2021/01/23-12:20:21,15.40,77.80,3
2021/01/23-12:20:22,15.70,81.60,3
2021/01/23-12:20:23,15.70,79.30,3
2021/01/23-12:20:24,15.60,81.50,3
2021/01/23-12:20:25,15.50,80.60,3
2021/01/23-12:20:26,15.30,78.00,3
2021/01/23-12:20:27,15.60,81.10,3
2021/01/23-12:20:28,15.40,80.90,3
2021/01/23-12:20:29,15.30,80.60,3
2021/01/23-12:20:30,15.30,78.80,3
2021/01/23-12:20:31,15.30,78.10,3
2021/01/23-12:20:32,15.10,76.70,3
2021/01/23-12:20:33,14.90,74.80,3
2021/01/23-12:20:34,14.60,72.50,3
2021/01/23-12:20:35,14.70,73.40,3
2021/01/23-12:20:36,14.80,72.60,3
2021/01/23-12:20:37,14.50,73.10,3
2021/01/23-12:20:38,14.60,74.80,3
2021/01/23-12:20:39,14.40,74.10,3
2021/01/23-12:20:40,14.50,76.80,3
2021/01/23-12:20:41,14.70,77.00,3
2021/01/23-12:20:42,14.90,77.30,3
2021/01/23-12:20:43,14.80,77.30,3
2021/01/23-12:20:44,14.80,76.40,3
2021/01/23-12:20:45,15.00,76.70,3
2021/01/23-12:20:46,15.00,76.10,3
2021/01/23-12:20:47,15.00,76.30,3
2021/01/23-12:20:48,15.20,76.40,3
2021/01/23-12:20:49,15.10,80.20,3
2021/01/23-12:20:50,15.40,80.90,3
2021/01/23-12:20:51,15.30,81.20,3
2021/01/23-12:20:52,15.10,77.70,3
2021/01/23-12:20:53,15.10,78.90,3
2021/01/23-12:20:54,15.20,77.10,3
2021/01/23-12:20:55,15.30,79.10,3
2021/01/23-12:20:56,15.50,81.80,3
2021/01/23-12:20:57,15.10,78.60,3
2021/01/23-12:20:58,14.90,77.60,3
2021/01/23-12:20:59,14.90,77.60,3
2021/01/23-12:21:00,15.00,80.10,3
2021/01/23-12:21:01,15.10,80.50,3
2021/01/23-12:21:02,15.20,78.70,3
2021/01/23-12:21:03,15.30,79.00,3
2021/01/23-12:21:04,15.10,79.40,3
2021/01/23-12:21:05,15.10,80.00,3
2021/01/23-12:21:06,14.80,80.10,3
2021/01/23-12:21:07,14.60,76.70,3
2021/01/23-12:21:08,14.40,75.90,3
2021/01/23-12:21:09,14.30,78.50,3
2021/01/23-12:21:10,14.40,77.60,3
2021/01/23-12:21:11,14.00,76.80,3
2021/01/23-12:21:12,14.00,76.70,3
2021/01/23-12:21:13,14.10,78.30,3
2021/01/23-12:21:14,14.10,79.20,3
2021/01/23-12:21:15,13.90,79.20,3
2021/01/23-12:21:16,14.10,80.90,3
2021/01/23-12:21:17,14.10,83.00,3
2021/01/23-12:21:18,14.00,83.40,3
2021/01/23-12:21:19,14.00,79.80,3
2021/01/23-12:21:20,13.80,80.00,3
2021/01/23-12:21:21,13.90,82.20,3
2021/01/23-12:21:22,14.00,82.40,3
2021/01/23-12:21:23,14.10,82.40,3
2021/01/23-12:21:24,14.30,84.80,3
2021/01/23-12:21:25,14.30,83.70,3
2021/01/23-12:21:26,14.10,81.30,3
2021/01/23-12:21:27,14.20,82.20,3
2021/01/23-12:21:28,14.20,83.70,3
2021/01/23-12:21:29,14.40,85.80,3
2021/01/23-12:21:30,14.60,86.30,3
2021/01/23-12:21:31,14.80,87.30,3
2021/01/23-12:21:32,15.00,90.60,3
2021/01/23-12:21:33,15.70,94.20,3
2021/01/23-12:21:34,16.20,96.30,3
2021/01/23-12:21:35,16.50,98.30,3
2021/01/23-12:21:36,17.10,100.90,3
2021/01/23-12:21:37,17.90,109.40,3
2021/01/23-12:21:38,18.60,113.40,3
2021/01/23-12:21:39,18.80,113.60,3
2021/01/23-12:21:40,19.00,113.00,3
2021/01/23-12:21:41,19.50,116.20,3
2021/01/23-12:21:42,19.60,116.70,3
2021/01/23-12:21:43,19.80,118.40,3
2021/01/23-12:21:44,19.80,117.80,3
2021/01/23-12:21:45,20.00,119.70,3
2021/01/23-12:21:46,19.80,119.00,3
2021/01/23-12:21:47,19.80,118.40,3
2021/01/23-12:21:48,19.70,119.60,3
2021/01/23-12:21:49,19.90,121.10,3
2021/01/23-12:21:50,20.00,123.90,3
2021/01/23-12:21:51,20.20,126.20,3
2021/01/23-12:21:52,20.70,128.00,3
2021/01/23-12:21:53,20.70,127.90,3
2021/01/23-12:21:54,20.50,126.00,3
2021/01/23-12:21:55,20.70,126.70,3
2021/01/23-12:21:56,20.80,128.70,3
2021/01/23-12:21:57,21.00,127.90,3
2021/01/23-12:21:58,21.10,127.50,3
2021/01/23-12:21:59,21.40,128.60,3
2021/01/23-12:22:00,21.50,129.10,3
2021/01/23-12:22:01,21.70,130.40,3
2021/01/23-12:22:02,21.50,128.30,3
2021/01/23-12:22:03,20.90,126.40,3
2021/01/23-12:22:04,20.60,127.20,3
2021/01/23-12:22:05,20.20,124.30,3
2021/01/23-12:22:06,19.80,120.90,3
2021/01/23-12:22:07,19.00,114.00,3
2021/01/23-12:22:08,18.60,109.10,3
2021/01/23-12:22:09,18.50,108.50,3
2021/01/23-12:22:10,18.20,107.30,3
2021/01/23-12:22:11,17.60,103.30,3
2021/01/23-12:22:12,17.50,103.60,3
2021/01/23-12:22:13,17.40,101.60,3
2021/01/23-12:22:14,17.50,101.00,3
2021/01/23-12:22:15,17.20,98.80,3
2021/01/23-12:22:16,17.00,97.90,3
2021/01/23-12:22:17,16.90,95.80,3
2021/01/23-12:22:18,16.80,93.00,3
2021/01/23-12:22:19,16.50,90.70,3
2021/01/23-12:22:20,16.10,86.60,3
