time,pm2.5,pm10
2021/01/11-12:23:47,0.50,1.80
2021/01/11-12:23:49,0.50,1.80
2021/01/11-12:23:50,0.50,1.60
2021/01/11-12:23:51,0.50,1.60
2021/01/11-12:23:52,0.50,1.50
2021/01/11-12:23:53,0.40,0.80
2021/01/11-12:23:54,0.30,0.70
2021/01/11-12:23:55,0.30,0.70
2021/01/11-12:23:56,0.30,0.60
2021/01/11-12:23:57,0.30,0.60
2021/01/11-12:23:58,0.30,0.60
2021/01/11-12:23:59,0.30,0.50
2021/01/11-12:24:00,0.30,0.50
2021/01/11-12:24:01,0.30,0.60
2021/01/11-12:24:02,0.30,0.60
2021/01/11-12:24:03,0.30,0.70
2021/01/11-12:24:04,0.40,0.70
2021/01/11-12:24:05,0.40,0.70
2021/01/11-12:24:06,0.40,0.60
2021/01/11-12:24:07,0.40,0.60
2021/01/11-12:24:08,0.40,0.60
2021/01/11-12:24:09,0.40,0.60
2021/01/11-12:24:10,0.40,0.40
2021/01/11-12:24:11,0.40,0.50
2021/01/11-12:24:12,0.40,0.40
2021/01/11-12:24:13,0.40,0.40
2021/01/11-12:24:14,0.40,0.50
2021/01/11-12:24:15,0.40,0.50
2021/01/11-12:24:16,0.40,0.50
2021/01/11-12:24:17,0.40,0.50
2021/01/11-12:24:18,0.40,0.50
2021/01/11-12:24:19,0.40,0.50
2021/01/11-12:24:20,0.40,0.50
2021/01/11-12:24:21,0.40,0.50
2021/01/11-12:24:22,0.40,0.50
2021/01/11-12:24:23,0.40,0.60
2021/01/11-12:24:24,0.40,0.60
2021/01/11-12:24:25,0.40,0.60
2021/01/11-12:24:26,0.40,0.70
2021/01/11-12:24:27,0.40,0.70
2021/01/11-12:24:28,0.40,0.70
2021/01/11-12:24:29,0.40,0.80
2021/01/11-12:24:30,0.40,0.70
2021/01/11-12:24:31,0.40,0.60
2021/01/11-12:24:32,0.40,0.60
2021/01/11-12:24:33,0.40,0.50
2021/01/11-12:24:34,0.40,0.60
2021/01/11-12:24:35,0.40,0.60
2021/01/11-12:24:36,0.40,0.50
2021/01/11-12:24:37,0.40,0.50
2021/01/11-12:24:38,0.30,0.50
2021/01/11-12:24:39,0.30,0.50
