time,pm2.5,pm10,fan
2021/01/19-19:56:13,16.80,63.50,2
2021/01/19-19:56:15,16.90,64.50,2
2021/01/19-19:56:16,16.90,64.30,2
2021/01/19-19:56:17,16.80,63.00,2
2021/01/19-19:56:18,16.70,63.60,2
2021/01/19-19:56:19,16.80,64.70,2
2021/01/19-19:56:20,16.70,64.40,2
2021/01/19-19:56:21,16.60,64.10,2
2021/01/19-19:56:22,16.60,64.00,2
2021/01/19-19:56:23,16.80,64.80,2
2021/01/19-19:56:24,16.80,64.80,2
2021/01/19-19:56:25,16.80,64.10,2
2021/01/19-19:56:26,16.80,64.40,2
2021/01/19-19:56:27,16.80,64.00,2
2021/01/19-19:56:28,16.60,62.80,2
2021/01/19-19:56:29,16.70,63.40,2
2021/01/19-19:56:30,16.60,62.20,2
2021/01/19-19:56:31,16.40,62.20,2
2021/01/19-19:56:32,16.50,62.10,2
2021/01/19-19:56:33,16.20,60.80,2
2021/01/19-19:56:34,16.00,60.00,2
2021/01/19-19:56:35,15.90,59.30,2
2021/01/19-19:56:36,15.80,58.80,2
2021/01/19-19:56:37,15.80,58.30,2
2021/01/19-19:56:38,15.60,56.50,2
2021/01/19-19:56:39,15.40,54.40,2
2021/01/19-19:56:40,15.40,54.70,2
2021/01/19-19:56:41,15.40,53.60,2
2021/01/19-19:56:42,15.40,53.00,2
2021/01/19-19:56:43,15.20,53.20,2
2021/01/19-19:56:44,15.30,54.80,2
2021/01/19-19:56:45,15.30,53.60,2
2021/01/19-19:56:46,15.30,53.90,2
2021/01/19-19:56:47,15.30,55.20,2
2021/01/19-19:56:48,15.30,54.40,2
2021/01/19-19:56:49,15.10,53.60,2
2021/01/19-19:56:50,15.00,52.80,2
2021/01/19-19:56:51,15.10,53.00,2
2021/01/19-19:56:52,15.80,55.90,2
2021/01/19-19:56:53,15.70,55.30,2
2021/01/19-19:56:54,15.80,56.20,2
2021/01/19-19:56:55,15.70,57.20,2
2021/01/19-19:56:56,15.80,57.10,2
2021/01/19-19:56:57,15.90,57.60,2
2021/01/19-19:56:58,16.00,59.70,2
2021/01/19-19:56:59,15.90,59.40,2
2021/01/19-19:57:00,16.10,59.40,2
2021/01/19-19:57:01,16.20,59.80,2
2021/01/19-19:57:02,16.30,60.30,2
2021/01/19-19:57:03,16.50,61.40,2
2021/01/19-19:57:04,16.40,61.30,2
2021/01/19-19:57:05,16.50,61.90,2
2021/01/19-19:57:06,16.50,62.20,2
2021/01/19-19:57:07,16.40,62.70,2
2021/01/19-19:57:08,16.40,62.90,2
2021/01/19-19:57:09,16.50,62.90,2
2021/01/19-19:57:10,16.40,62.80,2
2021/01/19-19:57:11,16.50,63.80,2
2021/01/19-19:57:12,16.50,65.20,2
2021/01/19-19:57:13,16.50,65.40,2
2021/01/19-19:57:14,16.30,63.40,2
2021/01/19-19:57:15,16.20,63.60,2
2021/01/19-19:57:16,16.30,63.20,2
2021/01/19-19:57:17,16.40,62.80,2
2021/01/19-19:57:18,16.60,63.50,2
2021/01/19-19:57:19,16.50,62.90,2
2021/01/19-19:57:20,16.40,62.70,2
