time,pm2.5,pm10,fan
2021/01/20-19:37:20,7.70,22.90,2
2021/01/20-19:37:21,7.70,22.60,2
2021/01/20-19:37:22,7.70,23.10,2
2021/01/20-19:37:23,7.70,22.90,2
2021/01/20-19:37:24,7.70,22.60,2
2021/01/20-19:37:25,7.60,22.40,2
2021/01/20-19:37:26,7.60,21.90,2
2021/01/20-19:37:27,7.50,22.40,2
2021/01/20-19:37:28,7.50,22.20,2
2021/01/20-19:37:29,7.50,22.00,2
2021/01/20-19:37:30,7.50,22.30,2
2021/01/20-19:37:31,7.60,22.50,2
2021/01/20-19:37:32,7.60,22.20,2
2021/01/20-19:37:33,7.50,21.80,2
2021/01/20-19:37:34,7.60,21.60,2
2021/01/20-19:37:35,7.40,21.00,2
2021/01/20-19:37:36,7.40,22.00,2
2021/01/20-19:37:37,7.40,22.00,2
2021/01/20-19:37:38,7.40,21.70,2
2021/01/20-19:37:39,7.40,21.90,2
2021/01/20-19:37:40,7.50,22.50,2
2021/01/20-19:37:41,7.50,22.40,2
2021/01/20-19:37:42,7.50,22.40,2
2021/01/20-19:37:43,7.60,23.70,2
2021/01/20-19:37:44,7.50,23.40,2
2021/01/20-19:37:45,7.30,23.50,2
2021/01/20-19:37:46,7.30,23.30,2
2021/01/20-19:37:47,7.30,23.70,2
2021/01/20-19:37:48,7.20,23.10,2
2021/01/20-19:37:49,7.40,23.40,2
2021/01/20-19:37:50,7.40,23.40,2
2021/01/20-19:37:51,7.40,23.60,2
2021/01/20-19:37:52,7.50,24.50,2
2021/01/20-19:37:53,7.60,24.60,2
2021/01/20-19:37:54,7.60,25.10,2
2021/01/20-19:37:55,7.60,25.20,2
2021/01/20-19:37:56,7.70,25.50,2
2021/01/20-19:37:57,7.80,25.40,2
2021/01/20-19:37:58,7.80,25.40,2
2021/01/20-19:37:59,8.00,25.70,2
2021/01/20-19:38:00,7.80,25.10,2
2021/01/20-19:38:01,7.80,25.00,2
2021/01/20-19:38:02,7.70,25.00,2
2021/01/20-19:38:03,7.80,24.80,2
2021/01/20-19:38:04,7.70,24.40,2
2021/01/20-19:38:05,7.70,24.20,2
2021/01/20-19:38:06,7.60,22.80,2
2021/01/20-19:38:07,7.60,23.40,2
2021/01/20-19:38:08,7.60,23.40,2
2021/01/20-19:38:09,7.70,23.80,2
2021/01/20-19:38:10,7.60,23.20,2
2021/01/20-19:38:11,7.50,23.10,2
2021/01/20-19:38:12,7.60,23.20,2
2021/01/20-19:38:13,7.50,21.60,2
2021/01/20-19:38:14,7.60,21.60,2
2021/01/20-19:38:15,7.70,22.60,2
2021/01/20-19:38:16,7.80,23.20,2
2021/01/20-19:38:17,7.70,22.40,2
2021/01/20-19:38:18,7.80,22.80,2
2021/01/20-19:38:19,7.80,22.70,2
2021/01/20-19:38:20,7.90,23.10,2
2021/01/20-19:38:21,7.80,22.90,2
2021/01/20-19:38:22,7.80,21.50,2
2021/01/20-19:38:23,7.70,21.40,2
2021/01/20-19:38:24,7.70,21.20,2
2021/01/20-19:38:25,7.80,21.10,2
2021/01/20-19:38:26,7.60,20.70,2
2021/01/20-19:38:27,7.70,20.40,2
2021/01/20-19:38:28,7.60,20.30,2
2021/01/20-19:38:29,7.50,20.40,2
2021/01/20-19:38:30,7.60,22.40,2
2021/01/20-19:38:31,7.70,22.50,2
2021/01/20-19:38:32,7.70,22.80,2
2021/01/20-19:38:33,7.60,22.70,2
2021/01/20-19:38:34,7.70,23.20,2
2021/01/20-19:38:35,7.80,23.50,2
2021/01/20-19:38:36,7.80,24.50,2
2021/01/20-19:38:37,7.80,24.10,2
2021/01/20-19:38:38,7.80,24.30,2
2021/01/20-19:38:39,7.70,24.20,2
