time,pm2.5,pm10,fan
2021/01/19-20:34:10,6.40,21.00,1
2021/01/19-20:34:12,6.30,21.00,1
2021/01/19-20:34:13,6.40,20.90,1
2021/01/19-20:34:14,6.30,20.80,1
2021/01/19-20:34:15,6.40,21.50,1
2021/01/19-20:34:16,6.50,21.40,1
2021/01/19-20:34:17,6.50,21.50,1
2021/01/19-20:34:18,6.40,21.40,1
2021/01/19-20:34:19,6.50,21.30,1
2021/01/19-20:34:20,6.30,20.90,1
2021/01/19-20:34:21,6.40,20.50,1
2021/01/19-20:34:22,6.30,20.60,1
2021/01/19-20:34:23,6.30,20.40,1
2021/01/19-20:34:24,6.30,20.30,1
2021/01/19-20:34:25,6.30,20.30,1
2021/01/19-20:34:26,6.30,20.00,1
2021/01/19-20:34:27,6.20,19.90,1
2021/01/19-20:34:28,6.30,19.90,1
2021/01/19-20:34:29,6.30,19.90,1
2021/01/19-20:34:30,6.20,20.20,1
2021/01/19-20:34:31,6.20,20.10,1
2021/01/19-20:34:32,6.10,19.90,1
2021/01/19-20:34:33,6.20,20.00,1
2021/01/19-20:34:34,6.20,20.10,1
2021/01/19-20:34:35,6.20,20.40,1
2021/01/19-20:34:36,6.10,20.70,1
2021/01/19-20:34:37,6.20,21.40,1
2021/01/19-20:34:38,6.20,21.50,1
2021/01/19-20:34:39,6.20,21.00,1
2021/01/19-20:34:40,6.20,21.50,1
2021/01/19-20:34:41,6.30,21.60,1
2021/01/19-20:34:42,6.30,21.40,1
2021/01/19-20:34:43,6.30,21.40,1
2021/01/19-20:34:44,6.20,21.30,1
2021/01/19-20:34:45,6.20,20.60,1
2021/01/19-20:34:46,6.10,20.70,1
2021/01/19-20:34:47,6.10,21.10,1
2021/01/19-20:34:48,6.20,21.00,1
2021/01/19-20:34:49,6.30,20.60,1
2021/01/19-20:34:50,6.40,20.60,1
2021/01/19-20:34:51,6.30,20.70,1
2021/01/19-20:34:52,6.40,21.10,1
2021/01/19-20:34:53,6.40,21.30,1
2021/01/19-20:34:54,6.40,21.30,1
2021/01/19-20:34:55,6.50,21.70,1
2021/01/19-20:34:56,6.60,22.70,1
2021/01/19-20:34:57,6.70,22.90,1
2021/01/19-20:34:58,6.70,23.40,1
2021/01/19-20:34:59,6.80,23.70,1
2021/01/19-20:35:00,6.80,23.50,1
2021/01/19-20:35:01,6.80,23.80,1
2021/01/19-20:35:02,6.80,23.60,1
2021/01/19-20:35:03,6.70,23.50,1
2021/01/19-20:35:04,6.70,23.40,1
2021/01/19-20:35:05,6.60,22.90,1
2021/01/19-20:35:06,6.60,22.20,1
2021/01/19-20:35:07,6.60,21.80,1
2021/01/19-20:35:08,6.80,22.20,1
2021/01/19-20:35:09,6.80,22.80,1
2021/01/19-20:35:10,7.00,22.90,1
2021/01/19-20:35:11,7.00,21.90,1
2021/01/19-20:35:12,7.00,22.50,1
2021/01/19-20:35:13,7.10,23.10,1
2021/01/19-20:35:14,7.10,23.40,1
2021/01/19-20:35:15,7.20,23.90,1
2021/01/19-20:35:16,7.20,24.20,1
2021/01/19-20:35:17,7.20,23.50,1
2021/01/19-20:35:18,7.00,23.40,1
2021/01/19-20:35:19,7.00,23.90,1
2021/01/19-20:35:20,6.90,23.90,1
2021/01/19-20:35:21,6.90,23.90,1
2021/01/19-20:35:22,6.90,23.90,1
2021/01/19-20:35:23,7.00,24.10,1
2021/01/19-20:35:24,7.00,23.80,1
2021/01/19-20:35:25,6.90,24.40,1
2021/01/19-20:35:26,6.90,23.80,1
2021/01/19-20:35:27,6.80,23.60,1
2021/01/19-20:35:28,7.00,23.70,1
2021/01/19-20:35:29,6.90,23.50,1
2021/01/19-20:35:30,7.00,23.60,1
2021/01/19-20:35:31,7.00,23.10,1
2021/01/19-20:35:32,7.00,23.10,1
2021/01/19-20:35:33,7.20,23.50,1
2021/01/19-20:35:34,7.20,23.40,1
2021/01/19-20:35:35,7.20,23.30,1
2021/01/19-20:35:36,7.30,24.00,1
2021/01/19-20:35:37,7.30,24.00,1
2021/01/19-20:35:38,7.20,23.80,1
2021/01/19-20:35:39,7.20,23.20,1
2021/01/19-20:35:40,7.00,23.10,1
2021/01/19-20:35:41,7.00,23.80,1
2021/01/19-20:35:42,6.90,23.30,1
2021/01/19-20:35:43,6.90,23.30,1
2021/01/19-20:35:44,6.80,22.80,1
2021/01/19-20:35:45,6.80,22.50,1
2021/01/19-20:35:46,6.90,23.00,1
2021/01/19-20:35:47,6.90,23.00,1
2021/01/19-20:35:48,6.80,22.90,1
2021/01/19-20:35:49,6.80,22.40,1
2021/01/19-20:35:50,6.90,22.90,1
2021/01/19-20:35:51,6.90,23.10,1
2021/01/19-20:35:52,6.90,22.90,1
2021/01/19-20:35:53,6.90,23.10,1
2021/01/19-20:35:54,6.90,23.80,1
2021/01/19-20:35:55,7.00,23.50,1
2021/01/19-20:35:56,6.90,23.50,1
2021/01/19-20:35:57,6.90,23.50,1
2021/01/19-20:35:58,6.70,23.50,1
2021/01/19-20:35:59,6.70,23.30,1
2021/01/19-20:36:00,6.60,23.30,1
2021/01/19-20:36:01,6.70,23.40,1
2021/01/19-20:36:02,6.70,23.40,1
2021/01/19-20:36:03,6.60,23.30,1
2021/01/19-20:36:04,6.70,23.80,1
2021/01/19-20:36:05,6.60,23.50,1
2021/01/19-20:36:06,6.60,23.30,1
2021/01/19-20:36:07,6.60,23.30,1
2021/01/19-20:36:08,6.60,23.00,1
2021/01/19-20:36:09,6.70,23.20,1
2021/01/19-20:36:10,6.60,22.80,1
2021/01/19-20:36:11,6.50,22.10,1
2021/01/19-20:36:12,6.70,22.00,1
2021/01/19-20:36:13,6.60,21.30,1
2021/01/19-20:36:14,6.70,21.50,1
2021/01/19-20:36:15,6.70,21.60,1
2021/01/19-20:36:16,6.60,20.80,1
2021/01/19-20:36:17,6.50,20.80,1
2021/01/19-20:36:18,6.60,21.20,1
2021/01/19-20:36:19,6.60,21.10,1
2021/01/19-20:36:20,6.50,20.90,1
2021/01/19-20:36:21,6.50,21.20,1
2021/01/19-20:36:22,6.60,21.40,1
2021/01/19-20:36:24,6.50,20.60,1
2021/01/19-20:36:25,6.50,20.20,1
2021/01/19-20:36:26,6.50,20.20,1
2021/01/19-20:36:27,6.60,20.00,1
2021/01/19-20:36:28,6.60,19.90,1
2021/01/19-20:36:29,6.60,19.30,1
2021/01/19-20:36:30,6.60,19.40,1
2021/01/19-20:36:31,6.70,19.40,1
2021/01/19-20:36:32,6.60,19.20,1
2021/01/19-20:36:33,6.60,19.60,1
2021/01/19-20:36:34,6.50,19.50,1
2021/01/19-20:36:35,6.60,19.20,1
2021/01/19-20:36:36,6.70,19.30,1
2021/01/19-20:36:37,6.80,19.60,1
2021/01/19-20:36:38,6.70,19.80,1
2021/01/19-20:36:39,6.70,19.90,1
2021/01/19-20:36:40,6.70,20.00,1
2021/01/19-20:36:41,6.80,20.10,1
2021/01/19-20:36:42,6.80,20.20,1
2021/01/19-20:36:43,6.70,21.10,1
2021/01/19-20:36:44,6.80,21.20,1
2021/01/19-20:36:45,6.90,21.70,1
2021/01/19-20:36:46,6.90,21.80,1
2021/01/19-20:36:47,6.90,21.60,1
2021/01/19-20:36:48,7.00,21.70,1
2021/01/19-20:36:49,7.00,21.80,1
2021/01/19-20:36:50,6.90,21.70,1
2021/01/19-20:36:51,7.00,21.90,1
2021/01/19-20:36:52,7.00,21.20,1
2021/01/19-20:36:53,7.00,21.10,1
2021/01/19-20:36:54,7.00,21.30,1
2021/01/19-20:36:55,7.00,21.30,1
2021/01/19-20:36:56,7.00,20.60,1
2021/01/19-20:36:57,7.00,21.40,1
2021/01/19-20:36:58,7.10,21.90,1
2021/01/19-20:36:59,7.10,21.90,1
2021/01/19-20:37:00,7.00,21.90,1
2021/01/19-20:37:01,7.00,22.10,1
2021/01/19-20:37:02,7.10,22.70,1
2021/01/19-20:37:03,7.10,23.00,1
2021/01/19-20:37:04,7.20,23.20,1
2021/01/19-20:37:05,7.10,23.60,1
2021/01/19-20:37:06,7.00,23.40,1
2021/01/19-20:37:07,6.80,22.90,1
2021/01/19-20:37:08,6.90,22.60,1
2021/01/19-20:37:09,7.00,22.40,1
2021/01/19-20:37:10,6.90,22.20,1
2021/01/19-20:37:11,6.90,22.40,1
2021/01/19-20:37:12,6.90,22.80,1
2021/01/19-20:37:13,6.90,21.90,1
2021/01/19-20:37:14,6.80,21.60,1
2021/01/19-20:37:15,6.80,21.50,1
2021/01/19-20:37:16,6.70,21.30,1
2021/01/19-20:37:17,6.70,21.80,1
2021/01/19-20:37:18,6.60,21.80,1
2021/01/19-20:37:19,6.60,21.90,1
2021/01/19-20:37:20,6.60,22.00,1
2021/01/19-20:37:21,6.60,21.70,1
2021/01/19-20:37:22,6.50,21.70,1
2021/01/19-20:37:23,6.60,21.80,1
2021/01/19-20:37:24,6.70,22.30,1
2021/01/19-20:37:25,6.60,22.00,1
2021/01/19-20:37:26,6.70,22.20,1
2021/01/19-20:37:27,6.60,21.30,1
2021/01/19-20:37:28,6.60,20.90,1
2021/01/19-20:37:29,6.60,21.40,1
2021/01/19-20:37:30,6.60,21.30,1
2021/01/19-20:37:31,6.50,20.90,1
2021/01/19-20:37:32,6.60,21.00,1
2021/01/19-20:37:33,6.50,20.00,1
2021/01/19-20:37:34,6.50,19.70,1
2021/01/19-20:37:35,6.50,20.40,1
2021/01/19-20:37:36,6.50,20.50,1
2021/01/19-20:37:37,6.40,20.50,1
2021/01/19-20:37:38,6.40,20.70,1
2021/01/19-20:37:39,6.30,20.60,1
2021/01/19-20:37:40,6.20,20.40,1
2021/01/19-20:37:41,6.30,20.40,1
2021/01/19-20:37:42,6.30,19.90,1
2021/01/19-20:37:43,6.30,20.10,1
2021/01/19-20:37:44,6.30,20.60,1
2021/01/19-20:37:45,6.30,20.30,1
2021/01/19-20:37:46,6.30,20.60,1
2021/01/19-20:37:47,6.30,20.20,1
2021/01/19-20:37:48,6.40,20.40,1
2021/01/19-20:37:49,6.40,20.40,1
2021/01/19-20:37:50,6.30,20.70,1
2021/01/19-20:37:51,6.30,20.60,1
2021/01/19-20:37:52,6.30,20.50,1
2021/01/19-20:37:53,6.40,20.20,1
2021/01/19-20:37:54,6.30,19.60,1
2021/01/19-20:37:55,6.30,19.70,1
2021/01/19-20:37:56,6.30,19.50,1
2021/01/19-20:37:57,6.30,19.50,1
2021/01/19-20:37:58,6.30,19.80,1
2021/01/19-20:37:59,6.20,19.60,1
2021/01/19-20:38:00,6.20,19.50,1
2021/01/19-20:38:01,6.30,20.10,1
2021/01/19-20:38:02,6.20,19.80,1
2021/01/19-20:38:03,6.20,20.00,1
2021/01/19-20:38:04,6.30,20.30,1
2021/01/19-20:38:05,6.30,19.50,1
2021/01/19-20:38:06,6.30,19.70,1
2021/01/19-20:38:07,6.30,19.90,1
2021/01/19-20:38:08,6.20,20.10,1
2021/01/19-20:38:09,6.30,20.20,1
2021/01/19-20:38:10,6.30,20.40,1
2021/01/19-20:38:11,6.40,20.40,1
2021/01/19-20:38:12,6.50,20.90,1
2021/01/19-20:38:13,6.40,20.80,1
2021/01/19-20:38:14,6.40,20.30,1
2021/01/19-20:38:15,6.40,20.40,1
2021/01/19-20:38:16,6.30,20.20,1
2021/01/19-20:38:17,6.40,20.60,1
2021/01/19-20:38:18,6.40,20.30,1
2021/01/19-20:38:19,6.40,19.90,1
2021/01/19-20:38:20,6.40,19.50,1
2021/01/19-20:38:21,6.40,19.70,1
2021/01/19-20:38:22,6.50,19.70,1
2021/01/19-20:38:23,6.40,19.70,1
2021/01/19-20:38:24,6.40,19.80,1
2021/01/19-20:38:25,6.40,20.00,1
2021/01/19-20:38:26,6.30,20.00,1
2021/01/19-20:38:27,6.40,20.00,1
2021/01/19-20:38:28,6.40,19.90,1
2021/01/19-20:38:29,6.40,19.50,1
2021/01/19-20:38:30,6.40,19.80,1
2021/01/19-20:38:31,6.40,19.50,1
2021/01/19-20:38:32,6.40,19.70,1
2021/01/19-20:38:33,6.40,19.50,1
2021/01/19-20:38:34,6.40,19.20,1
2021/01/19-20:38:35,6.30,18.80,1
2021/01/19-20:38:36,6.40,19.60,1
2021/01/19-20:38:37,6.40,19.30,1
2021/01/19-20:38:38,6.40,18.80,1
2021/01/19-20:38:39,6.50,19.30,1
2021/01/19-20:38:40,6.50,19.30,1
2021/01/19-20:38:41,6.50,19.00,1
2021/01/19-20:38:42,6.40,18.30,1
2021/01/19-20:38:43,6.40,18.40,1
2021/01/19-20:38:44,6.40,18.30,1
