time,pm2.5,pm10,fan
2021/01/21-17:19:55,1.10,3.60,0
2021/01/21-17:19:56,1.10,3.60,0
2021/01/21-17:19:57,1.10,3.80,0
2021/01/21-17:19:58,1.00,3.50,0
2021/01/21-17:19:59,1.00,3.60,0
2021/01/21-17:20:00,1.00,3.60,0
2021/01/21-17:20:01,1.10,3.80,0
2021/01/21-17:20:02,1.10,4.20,0
2021/01/21-17:20:03,1.10,4.70,0
2021/01/21-17:20:04,1.10,4.70,0
2021/01/21-17:20:05,1.20,4.90,0
2021/01/21-17:20:06,1.20,5.00,0
2021/01/21-17:20:07,1.20,5.10,0
2021/01/21-17:20:08,1.20,5.20,0
2021/01/21-17:20:09,1.20,5.30,0
2021/01/21-17:20:10,1.30,5.20,0
2021/01/21-17:20:11,1.30,5.40,0
2021/01/21-17:20:12,1.30,5.50,0
2021/01/21-17:20:13,1.30,5.50,0
2021/01/21-17:20:14,1.30,5.50,0
2021/01/21-17:20:15,1.30,5.50,0
2021/01/21-17:20:16,1.30,5.50,0
2021/01/21-17:20:17,1.30,5.80,0
2021/01/21-17:20:18,1.40,6.00,0
2021/01/21-17:20:19,1.40,5.90,0
2021/01/21-17:20:20,1.40,5.90,0
2021/01/21-17:20:21,1.40,5.90,0
2021/01/21-17:20:22,1.40,6.00,0
2021/01/21-17:20:23,1.40,6.00,0
2021/01/21-17:20:24,1.30,5.40,0
2021/01/21-17:20:25,1.30,5.30,0
2021/01/21-17:20:26,1.30,5.10,0
2021/01/21-17:20:27,1.30,5.10,0
2021/01/21-17:20:28,1.30,5.80,0
2021/01/21-17:20:29,1.30,5.70,0
2021/01/21-17:20:30,1.40,6.10,0
2021/01/21-17:20:31,1.30,6.10,0
2021/01/21-17:20:32,1.30,5.70,0
2021/01/21-17:20:33,1.30,5.30,0
2021/01/21-17:20:34,1.30,5.20,0
2021/01/21-17:20:35,1.30,4.60,0
2021/01/21-17:20:36,1.20,4.40,0
2021/01/21-17:20:37,1.20,4.40,0
2021/01/21-17:20:38,1.20,4.30,0
2021/01/21-17:20:39,1.20,4.20,0
2021/01/21-17:20:40,1.20,4.30,0
2021/01/21-17:20:41,1.20,4.10,0
2021/01/21-17:20:42,1.20,4.00,0
2021/01/21-17:20:43,1.20,5.90,0
2021/01/21-17:20:44,1.20,6.00,0
2021/01/21-17:20:45,1.20,6.20,0
2021/01/21-17:20:46,1.20,6.20,0
2021/01/21-17:20:47,1.30,6.00,0
2021/01/21-17:20:48,1.20,5.80,0
2021/01/21-17:20:49,1.20,5.70,0
2021/01/21-17:20:50,1.20,5.70,0
2021/01/21-17:20:51,1.20,5.70,0
2021/01/21-17:20:52,1.20,5.70,0
2021/01/21-17:20:53,1.20,5.80,0
2021/01/21-17:20:54,1.20,5.80,0
2021/01/21-17:20:55,1.20,6.00,0
2021/01/21-17:20:56,1.30,6.10,0
2021/01/21-17:20:58,1.20,5.90,0
2021/01/21-17:20:59,1.30,5.50,0
2021/01/21-17:21:00,1.30,5.70,0
2021/01/21-17:21:01,1.30,5.50,0
2021/01/21-17:21:02,1.40,5.60,0
2021/01/21-17:21:03,1.40,5.50,0
2021/01/21-17:21:04,1.30,5.60,0
2021/01/21-17:21:05,1.30,5.50,0
2021/01/21-17:21:06,1.30,5.50,0
2021/01/21-17:21:07,1.30,5.50,0
2021/01/21-17:21:08,1.30,5.60,0
2021/01/21-17:21:09,1.30,5.50,0
2021/01/21-17:21:10,1.30,5.60,0
2021/01/21-17:21:11,1.30,5.50,0
