time,pm2.5,pm10,fan
2021/01/20-19:55:55,3.60,12.00,1
2021/01/20-19:55:56,3.60,12.20,1
2021/01/20-19:55:57,3.60,12.00,1
2021/01/20-19:55:58,3.70,12.10,1
2021/01/20-19:55:59,3.70,12.30,1
2021/01/20-19:56:00,3.70,12.40,1
2021/01/20-19:56:01,3.70,12.00,1
2021/01/20-19:56:02,3.70,11.80,1
2021/01/20-19:56:03,3.80,12.20,1
2021/01/20-19:56:04,3.90,12.20,1
2021/01/20-19:56:05,4.00,12.50,1
2021/01/20-19:56:06,3.90,12.30,1
2021/01/20-19:56:07,3.90,12.20,1
2021/01/20-19:56:08,3.80,11.80,1
2021/01/20-19:56:09,3.90,12.00,1
2021/01/20-19:56:10,3.90,11.80,1
2021/01/20-19:56:11,3.90,12.20,1
2021/01/20-19:56:12,3.90,12.50,1
2021/01/20-19:56:13,3.90,12.60,1
2021/01/20-19:56:14,4.00,12.60,1
2021/01/20-19:56:15,4.00,12.80,1
2021/01/20-19:56:16,4.10,13.10,1
2021/01/20-19:56:17,4.10,13.20,1
2021/01/20-19:56:18,4.10,13.10,1
2021/01/20-19:56:19,4.10,12.80,1
2021/01/20-19:56:20,4.00,12.50,1
2021/01/20-19:56:21,4.00,12.70,1
2021/01/20-19:56:22,4.00,12.60,1
2021/01/20-19:56:23,4.00,11.90,1
2021/01/20-19:56:24,3.90,11.80,1
2021/01/20-19:56:25,3.90,11.90,1
2021/01/20-19:56:26,3.90,11.70,1
2021/01/20-19:56:27,3.90,11.70,1
2021/01/20-19:56:28,3.90,11.90,1
2021/01/20-19:56:29,3.90,12.20,1
2021/01/20-19:56:30,3.90,12.20,1
2021/01/20-19:56:31,3.90,12.20,1
2021/01/20-19:56:32,3.90,12.10,1
2021/01/20-19:56:33,3.90,11.80,1
2021/01/20-19:56:34,3.80,11.60,1
2021/01/20-19:56:35,3.80,11.90,1
2021/01/20-19:56:36,3.80,11.70,1
2021/01/20-19:56:37,3.80,12.00,1
2021/01/20-19:56:38,3.80,12.10,1
2021/01/20-19:56:39,3.80,12.10,1
2021/01/20-19:56:40,3.80,12.30,1
2021/01/20-19:56:41,3.80,11.90,1
2021/01/20-19:56:42,3.80,11.50,1
2021/01/20-19:56:43,3.80,11.50,1
2021/01/20-19:56:44,3.80,11.60,1
2021/01/20-19:56:45,3.70,11.40,1
2021/01/20-19:56:46,3.70,11.50,1
2021/01/20-19:56:47,3.80,11.50,1
2021/01/20-19:56:48,3.80,11.30,1
2021/01/20-19:56:49,3.80,11.90,1
2021/01/20-19:56:50,3.80,11.90,1
2021/01/20-19:56:51,3.80,11.80,1
2021/01/20-19:56:52,3.80,11.50,1
2021/01/20-19:56:53,3.80,11.40,1
2021/01/20-19:56:54,3.80,11.50,1
2021/01/20-19:56:55,3.80,11.50,1
2021/01/20-19:56:56,3.90,11.70,1
2021/01/20-19:56:57,3.80,11.60,1
2021/01/20-19:56:58,3.80,11.60,1
2021/01/20-19:56:59,3.70,10.90,1
2021/01/20-19:57:00,3.70,10.80,1
2021/01/20-19:57:01,3.70,11.10,1
2021/01/20-19:57:02,3.70,11.10,1
2021/01/20-19:57:03,3.70,11.10,1
2021/01/20-19:57:04,3.70,11.10,1
2021/01/20-19:57:05,3.70,10.90,1
2021/01/20-19:57:06,3.70,11.40,1
2021/01/20-19:57:07,3.70,10.90,1
2021/01/20-19:57:08,3.70,10.80,1
2021/01/20-19:57:09,3.80,10.70,1
2021/01/20-19:57:10,3.70,10.90,1
2021/01/20-19:57:11,3.70,10.80,1
2021/01/20-19:57:12,3.60,10.90,1
2021/01/20-19:57:13,3.70,11.00,1
2021/01/20-19:57:14,3.70,10.80,1
2021/01/20-19:57:15,3.70,11.00,1
2021/01/20-19:57:16,3.70,10.90,1
2021/01/20-19:57:17,3.70,11.20,1
2021/01/20-19:57:18,3.70,11.20,1
2021/01/20-19:57:19,3.70,10.60,1
2021/01/20-19:57:20,3.70,10.30,1
2021/01/20-19:57:21,3.70,10.60,1
2021/01/20-19:57:22,3.80,11.00,1
2021/01/20-19:57:23,3.90,10.90,1
2021/01/20-19:57:24,4.00,11.10,1
2021/01/20-19:57:25,4.00,11.10,1
2021/01/20-19:57:26,4.00,10.90,1
2021/01/20-19:57:27,4.00,11.60,1
2021/01/20-19:57:28,3.90,11.80,1
2021/01/20-19:57:29,4.00,12.00,1
2021/01/20-19:57:30,4.00,12.10,1
2021/01/20-19:57:31,4.00,12.20,1
2021/01/20-19:57:32,4.00,13.10,1
2021/01/20-19:57:33,4.00,12.90,1
2021/01/20-19:57:34,4.00,12.90,1
2021/01/20-19:57:35,3.90,12.80,1
2021/01/20-19:57:36,3.90,13.10,1
2021/01/20-19:57:37,3.90,13.00,1
2021/01/20-19:57:38,3.90,13.30,1
2021/01/20-19:57:39,3.90,13.10,1
2021/01/20-19:57:40,3.90,12.70,1
2021/01/20-19:57:41,3.90,12.90,1
2021/01/20-19:57:42,4.00,12.80,1
2021/01/20-19:57:43,3.90,12.60,1
2021/01/20-19:57:44,3.90,12.60,1
2021/01/20-19:57:45,3.90,12.60,1
2021/01/20-19:57:46,4.00,13.00,1
2021/01/20-19:57:47,3.90,13.00,1
2021/01/20-19:57:48,3.90,12.90,1
2021/01/20-19:57:49,3.90,13.10,1
2021/01/20-19:57:50,3.90,13.00,1
2021/01/20-19:57:51,3.90,13.10,1
2021/01/20-19:57:52,3.90,12.80,1
2021/01/20-19:57:53,3.90,13.00,1
2021/01/20-19:57:54,3.90,13.10,1
2021/01/20-19:57:55,3.80,13.10,1
2021/01/20-19:57:56,3.80,13.00,1
2021/01/20-19:57:57,3.80,12.50,1
2021/01/20-19:57:58,3.80,12.50,1
2021/01/20-19:57:59,3.90,12.60,1
2021/01/20-19:58:00,3.90,12.40,1
2021/01/20-19:58:01,3.80,12.00,1
2021/01/20-19:58:02,3.80,11.30,1
2021/01/20-19:58:03,3.80,11.40,1
2021/01/20-19:58:04,3.80,11.50,1
2021/01/20-19:58:05,3.80,11.60,1
2021/01/20-19:58:06,3.80,10.80,1
2021/01/20-19:58:07,3.80,10.90,1
2021/01/20-19:58:08,3.70,10.60,1
2021/01/20-19:58:09,3.70,10.90,1
2021/01/20-19:58:10,3.80,11.20,1
2021/01/20-19:58:11,3.70,11.50,1
2021/01/20-19:58:12,3.70,11.40,1
2021/01/20-19:58:13,3.60,11.50,1
2021/01/20-19:58:14,3.60,11.60,1
2021/01/20-19:58:15,3.70,12.20,1
2021/01/20-19:58:16,3.60,11.70,1
2021/01/20-19:58:17,3.70,11.50,1
2021/01/20-19:58:18,3.70,11.60,1
2021/01/20-19:58:19,3.60,11.30,1
2021/01/20-19:58:20,3.60,11.20,1
2021/01/20-19:58:21,3.50,11.20,1
2021/01/20-19:58:22,3.50,11.60,1
2021/01/20-19:58:23,3.50,11.60,1
2021/01/20-19:58:24,3.50,12.10,1
2021/01/20-19:58:25,3.60,12.70,1
2021/01/20-19:58:26,3.60,12.80,1
2021/01/20-19:58:27,3.50,12.80,1
2021/01/20-19:58:28,3.60,12.50,1
2021/01/20-19:58:29,3.50,12.90,1
2021/01/20-19:58:30,3.60,13.30,1
2021/01/20-19:58:31,3.60,13.40,1
2021/01/20-19:58:32,3.70,13.20,1
2021/01/20-19:58:33,3.70,13.40,1
2021/01/20-19:58:34,3.70,13.90,1
2021/01/20-19:58:35,3.80,13.80,1
2021/01/20-19:58:36,3.80,13.80,1
2021/01/20-19:58:37,3.80,14.10,1
2021/01/20-19:58:38,3.80,14.30,1
2021/01/20-19:58:39,3.80,14.10,1
2021/01/20-19:58:40,3.80,14.30,1
2021/01/20-19:58:41,3.80,13.90,1
2021/01/20-19:58:42,3.70,14.20,1
2021/01/20-19:58:43,3.80,14.50,1
2021/01/20-19:58:44,3.80,14.20,1
2021/01/20-19:58:45,3.70,13.50,1
2021/01/20-19:58:47,3.70,13.40,1
2021/01/20-19:58:48,3.60,13.30,1
2021/01/20-19:58:49,3.70,13.30,1
2021/01/20-19:58:50,3.90,14.00,1
2021/01/20-19:58:51,3.90,14.20,1
2021/01/20-19:58:52,3.90,14.00,1
2021/01/20-19:58:53,3.90,13.60,1
2021/01/20-19:58:54,3.90,13.50,1
2021/01/20-19:58:55,3.80,12.90,1
2021/01/20-19:58:56,3.90,12.40,1
2021/01/20-19:58:57,3.80,12.40,1
2021/01/20-19:58:58,3.90,12.50,1
2021/01/20-19:58:59,3.90,12.50,1
2021/01/20-19:59:00,3.90,12.20,1
2021/01/20-19:59:01,3.80,11.80,1
2021/01/20-19:59:02,3.80,12.10,1
2021/01/20-19:59:03,3.70,12.00,1
2021/01/20-19:59:04,3.70,11.70,1
2021/01/20-19:59:05,3.70,11.30,1
2021/01/20-19:59:06,3.60,11.10,1
2021/01/20-19:59:07,3.60,11.20,1
2021/01/20-19:59:08,3.70,10.90,1
2021/01/20-19:59:09,3.60,11.10,1
2021/01/20-19:59:10,3.60,11.10,1
2021/01/20-19:59:11,3.60,10.90,1
2021/01/20-19:59:12,3.70,11.00,1
2021/01/20-19:59:13,3.70,11.00,1
2021/01/20-19:59:14,3.70,10.60,1
2021/01/20-19:59:15,3.70,10.80,1
2021/01/20-19:59:16,3.70,11.10,1
2021/01/20-19:59:17,3.80,11.20,1
2021/01/20-19:59:18,3.70,11.10,1
2021/01/20-19:59:19,3.60,11.30,1
2021/01/20-19:59:20,3.60,10.90,1
2021/01/20-19:59:21,3.50,10.70,1
2021/01/20-19:59:22,3.50,10.70,1
2021/01/20-19:59:23,3.50,10.70,1
2021/01/20-19:59:24,3.50,10.60,1
2021/01/20-19:59:25,3.50,10.80,1
2021/01/20-19:59:26,3.40,10.60,1
2021/01/20-19:59:27,3.50,11.00,1
2021/01/20-19:59:28,3.50,11.40,1
2021/01/20-19:59:29,3.50,11.40,1
2021/01/20-19:59:30,3.50,11.30,1
2021/01/20-19:59:31,3.60,11.90,1
2021/01/20-19:59:32,3.60,11.80,1
2021/01/20-19:59:33,3.60,11.80,1
2021/01/20-19:59:34,3.60,12.00,1
2021/01/20-19:59:35,3.60,11.90,1
2021/01/20-19:59:36,3.60,11.80,1
2021/01/20-19:59:37,3.50,11.90,1
2021/01/20-19:59:38,3.50,12.00,1
2021/01/20-19:59:39,3.60,11.70,1
2021/01/20-19:59:40,3.60,11.80,1
2021/01/20-19:59:41,3.60,11.40,1
2021/01/20-19:59:42,3.50,11.30,1
2021/01/20-19:59:43,3.50,11.20,1
2021/01/20-19:59:44,3.60,11.30,1
2021/01/20-19:59:45,3.60,11.20,1
2021/01/20-19:59:46,3.50,11.00,1
2021/01/20-19:59:47,3.50,10.90,1
2021/01/20-19:59:48,3.50,11.00,1
2021/01/20-19:59:49,3.50,10.80,1
2021/01/20-19:59:50,3.50,10.80,1
2021/01/20-19:59:51,3.50,10.90,1
2021/01/20-19:59:52,3.50,10.90,1
2021/01/20-19:59:53,3.50,11.00,1
2021/01/20-19:59:54,3.60,11.40,1
2021/01/20-19:59:55,3.60,11.20,1
2021/01/20-19:59:56,3.60,11.30,1
2021/01/20-19:59:57,3.50,10.90,1
2021/01/20-19:59:58,3.50,10.50,1
2021/01/20-19:59:59,3.40,10.20,1
2021/01/20-20:00:00,3.50,10.10,1
2021/01/20-20:00:01,3.40,9.50,1
2021/01/20-20:00:02,3.50,10.30,1
2021/01/20-20:00:03,3.40,10.20,1
2021/01/20-20:00:04,3.40,10.10,1
2021/01/20-20:00:05,3.50,10.10,1
2021/01/20-20:00:06,3.60,10.20,1
2021/01/20-20:00:07,3.50,10.20,1
2021/01/20-20:00:08,3.50,10.10,1
2021/01/20-20:00:09,3.50,10.00,1
2021/01/20-20:00:10,3.50,9.80,1
2021/01/20-20:00:11,3.50,10.00,1
2021/01/20-20:00:12,3.50,10.00,1
2021/01/20-20:00:13,3.50,10.00,1
2021/01/20-20:00:14,3.60,10.20,1
2021/01/20-20:00:15,3.60,10.20,1
2021/01/20-20:00:16,3.60,10.20,1
2021/01/20-20:00:17,3.60,10.20,1
2021/01/20-20:00:18,3.60,10.30,1
2021/01/20-20:00:19,3.60,10.40,1
2021/01/20-20:00:20,3.70,10.40,1
2021/01/20-20:00:21,3.80,10.50,1
2021/01/20-20:00:22,3.70,10.40,1
2021/01/20-20:00:23,3.70,10.20,1
2021/01/20-20:00:24,3.60,10.00,1
2021/01/20-20:00:25,3.60,10.10,1
2021/01/20-20:00:26,3.60,10.00,1
2021/01/20-20:00:27,3.60,9.90,1
2021/01/20-20:00:28,3.50,10.10,1
2021/01/20-20:00:29,3.60,10.40,1
2021/01/20-20:00:30,3.50,10.40,1
2021/01/20-20:00:31,3.50,10.70,1
2021/01/20-20:00:32,3.40,9.70,1
2021/01/20-20:00:33,3.40,9.80,1
2021/01/20-20:00:34,3.50,9.90,1
2021/01/20-20:00:35,3.50,10.20,1
2021/01/20-20:00:36,3.60,10.60,1
2021/01/20-20:00:37,3.60,10.80,1
2021/01/20-20:00:38,3.60,10.70,1
2021/01/20-20:00:39,3.70,10.90,1
2021/01/20-20:00:40,3.70,11.10,1
2021/01/20-20:00:41,3.60,11.30,1
2021/01/20-20:00:42,3.60,11.30,1
2021/01/20-20:00:43,3.60,11.20,1
2021/01/20-20:00:44,3.70,11.40,1
2021/01/20-20:00:45,3.80,11.60,1
2021/01/20-20:00:46,3.70,11.50,1
2021/01/20-20:00:47,3.70,11.70,1
2021/01/20-20:00:48,3.70,11.50,1
2021/01/20-20:00:49,3.70,11.50,1
2021/01/20-20:00:50,3.70,11.60,1
2021/01/20-20:00:51,3.70,11.80,1
2021/01/20-20:00:52,3.80,12.40,1
2021/01/20-20:00:53,3.70,12.40,1
2021/01/20-20:00:54,3.70,12.20,1
2021/01/20-20:00:55,3.70,12.70,1
2021/01/20-20:00:56,3.70,12.60,1
2021/01/20-20:00:57,3.80,13.10,1
2021/01/20-20:00:58,3.80,12.70,1
2021/01/20-20:00:59,3.80,12.60,1
2021/01/20-20:01:00,3.90,12.80,1
2021/01/20-20:01:01,3.90,12.50,1
2021/01/20-20:01:02,3.90,12.50,1
2021/01/20-20:01:03,3.90,12.60,1
2021/01/20-20:01:04,3.90,12.60,1
2021/01/20-20:01:05,3.80,12.20,1
2021/01/20-20:01:06,3.70,12.00,1
2021/01/20-20:01:07,3.70,11.70,1
2021/01/20-20:01:08,3.70,12.70,1
2021/01/20-20:01:09,3.70,12.60,1
2021/01/20-20:01:10,3.60,12.50,1
2021/01/20-20:01:11,3.70,12.50,1
2021/01/20-20:01:12,3.60,12.30,1
2021/01/20-20:01:13,3.60,12.40,1
2021/01/20-20:01:14,3.50,11.80,1
2021/01/20-20:01:15,3.40,11.60,1
2021/01/20-20:01:16,3.50,12.50,1
2021/01/20-20:01:17,3.50,12.40,1
2021/01/20-20:01:18,3.50,12.50,1
2021/01/20-20:01:19,3.40,12.70,1
2021/01/20-20:01:20,3.40,12.70,1
2021/01/20-20:01:21,3.40,12.40,1
2021/01/20-20:01:22,3.40,11.90,1
2021/01/20-20:01:23,3.40,11.90,1
2021/01/20-20:01:24,3.40,12.20,1
2021/01/20-20:01:25,3.40,12.00,1
2021/01/20-20:01:26,3.40,12.10,1
2021/01/20-20:01:27,3.40,11.80,1
2021/01/20-20:01:28,3.40,11.90,1
2021/01/20-20:01:29,3.40,12.30,1
2021/01/20-20:01:30,3.50,12.90,1
2021/01/20-20:01:31,3.40,13.10,1
2021/01/20-20:01:32,3.40,13.60,1
2021/01/20-20:01:33,3.40,13.50,1
2021/01/20-20:01:34,3.40,13.70,1
2021/01/20-20:01:35,3.40,13.80,1
2021/01/20-20:01:36,3.40,13.70,1
2021/01/20-20:01:37,3.50,13.60,1
2021/01/20-20:01:38,3.40,12.60,1
2021/01/20-20:01:39,3.50,12.90,1
2021/01/20-20:01:40,3.50,13.10,1
2021/01/20-20:01:41,3.40,13.00,1
2021/01/20-20:01:42,3.40,13.00,1
2021/01/20-20:01:43,3.40,12.90,1
2021/01/20-20:01:44,3.40,13.20,1
2021/01/20-20:01:45,3.40,13.20,1
2021/01/20-20:01:46,3.40,12.40,1
2021/01/20-20:01:47,3.40,12.30,1
2021/01/20-20:01:48,3.40,12.20,1
2021/01/20-20:01:49,3.40,11.80,1
2021/01/20-20:01:50,3.30,11.50,1
2021/01/20-20:01:51,3.30,11.60,1
2021/01/20-20:01:52,3.30,11.60,1
2021/01/20-20:01:53,3.30,11.60,1
2021/01/20-20:01:54,3.30,11.30,1
2021/01/20-20:01:55,3.30,10.80,1
2021/01/20-20:01:56,3.30,10.70,1
2021/01/20-20:01:57,3.30,10.80,1
2021/01/20-20:01:58,3.30,10.80,1
2021/01/20-20:01:59,3.30,10.80,1
2021/01/20-20:02:00,3.30,10.00,1
2021/01/20-20:02:01,3.40,10.20,1
2021/01/20-20:02:02,3.40,9.90,1
2021/01/20-20:02:03,3.40,10.50,1
2021/01/20-20:02:04,3.40,10.20,1
2021/01/20-20:02:05,3.40,10.50,1
2021/01/20-20:02:06,3.40,10.50,1
2021/01/20-20:02:07,3.40,10.50,1
2021/01/20-20:02:08,3.50,10.70,1
2021/01/20-20:02:09,3.40,10.20,1
2021/01/20-20:02:10,3.40,10.20,1
2021/01/20-20:02:11,3.40,10.30,1
2021/01/20-20:02:12,3.50,10.20,1
2021/01/20-20:02:13,3.50,10.70,1
2021/01/20-20:02:14,3.50,10.60,1
2021/01/20-20:02:15,3.60,11.00,1
2021/01/20-20:02:16,3.60,11.10,1
2021/01/20-20:02:17,3.60,11.10,1
2021/01/20-20:02:18,3.70,11.20,1
2021/01/20-20:02:19,3.70,11.40,1
