time,pm2.5,pm10
2021/01/11-12:08:53,11.00,25.70
2021/01/11-12:08:54,10.90,25.60
2021/01/11-12:08:55,10.70,25.00
2021/01/11-12:08:56,10.60,24.80
2021/01/11-12:08:57,10.40,23.60
2021/01/11-12:08:58,10.20,23.10
2021/01/11-12:08:59,10.10,23.00
2021/01/11-12:09:00,9.90,23.60
2021/01/11-12:09:01,9.70,23.30
2021/01/11-12:09:02,9.60,23.30
2021/01/11-12:09:03,9.60,22.80
2021/01/11-12:09:04,9.50,22.10
2021/01/11-12:09:05,9.40,21.90
2021/01/11-12:09:06,9.40,21.80
2021/01/11-12:09:07,9.30,21.80
2021/01/11-12:09:08,9.30,21.90
2021/01/11-12:09:09,9.30,21.80
2021/01/11-12:09:10,9.20,20.80
2021/01/11-12:09:11,7.70,17.40
2021/01/11-12:09:12,7.00,16.20
2021/01/11-12:09:13,6.60,16.00
2021/01/11-12:09:14,6.40,15.30
2021/01/11-12:09:15,6.30,15.10
2021/01/11-12:09:16,5.60,13.60
2021/01/11-12:09:17,5.40,13.00
2021/01/11-12:09:18,5.40,13.30
2021/01/11-12:09:19,5.30,13.10
2021/01/11-12:09:20,5.20,12.60
2021/01/11-12:09:21,5.30,12.50
2021/01/11-12:09:22,5.20,12.40
2021/01/11-12:09:23,5.00,12.30
2021/01/11-12:09:24,4.80,12.10
2021/01/11-12:09:25,4.70,11.80
2021/01/11-12:09:26,4.50,11.30
2021/01/11-12:09:27,4.30,10.80
2021/01/11-12:09:28,4.10,10.40
2021/01/11-12:09:29,3.90,10.10
2021/01/11-12:09:30,3.90,9.30
2021/01/11-12:09:31,3.80,9.10
2021/01/11-12:09:32,3.70,8.90
2021/01/11-12:09:33,3.60,9.10
2021/01/11-12:09:34,3.50,8.80
2021/01/11-12:09:35,3.40,8.60
2021/01/11-12:09:36,3.30,8.40
2021/01/11-12:09:37,3.20,8.10
2021/01/11-12:09:38,3.00,7.70
2021/01/11-12:09:39,2.90,7.40
2021/01/11-12:09:40,2.80,7.30
2021/01/11-12:09:41,2.80,7.30
2021/01/11-12:09:42,2.80,6.70
2021/01/11-12:09:43,2.70,6.50
2021/01/11-12:09:44,2.60,6.50
2021/01/11-12:09:45,2.50,6.30
2021/01/11-12:09:46,2.40,6.00
2021/01/11-12:09:47,2.40,6.10
2021/01/11-12:09:48,2.20,5.70
2021/01/11-12:09:49,2.10,5.50
2021/01/11-12:09:50,2.10,5.60
2021/01/11-12:09:51,2.00,5.50
2021/01/11-12:09:52,2.00,5.50
2021/01/11-12:09:53,2.00,5.10
2021/01/11-12:09:54,1.80,4.80
2021/01/11-12:09:55,1.70,4.60
2021/01/11-12:09:56,1.70,4.70
2021/01/11-12:09:57,1.80,4.80
2021/01/11-12:09:58,1.80,5.00
2021/01/11-12:09:59,1.80,4.90
2021/01/11-12:10:00,1.80,4.80
2021/01/11-12:10:01,1.90,5.00
2021/01/11-12:10:02,1.90,5.20
2021/01/11-12:10:03,1.80,4.50
2021/01/11-12:10:04,1.80,4.70
2021/01/11-12:10:05,1.80,4.80
2021/01/11-12:10:06,1.70,4.80
2021/01/11-12:10:07,1.70,4.70
2021/01/11-12:10:08,1.70,4.70
2021/01/11-12:10:09,1.70,4.80
2021/01/11-12:10:10,1.70,4.60
2021/01/11-12:10:11,1.70,4.70
2021/01/11-12:10:12,1.60,4.50
2021/01/11-12:10:13,1.50,4.10
2021/01/11-12:10:14,1.50,3.90
2021/01/11-12:10:15,1.40,3.80
2021/01/11-12:10:16,1.50,3.80
2021/01/11-12:10:17,1.40,3.60
2021/01/11-12:10:18,1.40,3.60
2021/01/11-12:10:19,1.40,3.60
2021/01/11-12:10:20,1.30,3.40
2021/01/11-12:10:21,1.30,3.20
2021/01/11-12:10:22,1.30,3.10
2021/01/11-12:10:23,1.30,3.20
2021/01/11-12:10:24,1.30,3.30
2021/01/11-12:10:25,1.30,3.20
2021/01/11-12:10:26,1.20,3.10
2021/01/11-12:10:27,1.20,3.00
2021/01/11-12:10:28,1.20,2.90
2021/01/11-12:10:29,1.20,3.00
2021/01/11-12:10:30,1.10,2.90
2021/01/11-12:10:31,1.10,2.60
2021/01/11-12:10:32,1.00,2.50
2021/01/11-12:10:33,1.00,2.60
2021/01/11-12:10:34,1.10,2.40
2021/01/11-12:10:35,1.10,2.20
2021/01/11-12:10:36,1.10,2.20
2021/01/11-12:10:37,1.10,2.30
2021/01/11-12:10:38,1.10,2.40
2021/01/11-12:10:39,1.10,2.30
2021/01/11-12:10:40,1.10,2.40
2021/01/11-12:10:41,1.10,2.30
2021/01/11-12:10:42,1.10,2.50
2021/01/11-12:10:43,1.10,2.50
2021/01/11-12:10:44,1.10,2.50
2021/01/11-12:10:45,1.20,3.00
2021/01/11-12:10:46,1.10,3.00
2021/01/11-12:10:47,1.10,3.20
2021/01/11-12:10:48,1.10,3.10
2021/01/11-12:10:49,1.10,3.10
2021/01/11-12:10:50,1.10,3.10
2021/01/11-12:10:51,1.10,3.10
2021/01/11-12:10:52,1.10,3.10
2021/01/11-12:10:53,1.10,3.00
2021/01/11-12:10:54,1.00,2.90
2021/01/11-12:10:55,1.10,3.00
2021/01/11-12:10:56,1.10,2.90
2021/01/11-12:10:57,1.10,2.90
2021/01/11-12:10:58,1.00,2.90
2021/01/11-12:10:59,1.00,2.70
2021/01/11-12:11:00,1.00,2.90
2021/01/11-12:11:01,1.00,2.80
2021/01/11-12:11:02,1.00,2.60
2021/01/11-12:11:03,1.00,2.50
2021/01/11-12:11:04,0.90,2.50
2021/01/11-12:11:05,0.90,2.50
2021/01/11-12:11:06,0.90,2.50
2021/01/11-12:11:07,0.90,2.40
2021/01/11-12:11:08,0.90,2.30
2021/01/11-12:11:09,0.90,2.30
2021/01/11-12:11:10,0.90,2.70
2021/01/11-12:11:11,0.90,2.60
2021/01/11-12:11:12,0.80,2.40
2021/01/11-12:11:13,0.80,2.30
2021/01/11-12:11:14,0.80,2.40
2021/01/11-12:11:15,0.80,1.80
2021/01/11-12:11:16,0.80,1.80
2021/01/11-12:11:17,0.80,1.60
2021/01/11-12:11:18,0.70,1.50
2021/01/11-12:11:19,0.70,1.60
2021/01/11-12:11:20,0.70,1.60
2021/01/11-12:11:21,0.70,1.60
2021/01/11-12:11:22,0.70,1.60
2021/01/11-12:11:23,0.70,1.50
2021/01/11-12:11:24,0.70,1.60
2021/01/11-12:11:25,0.70,1.60
2021/01/11-12:11:26,0.60,1.60
2021/01/11-12:11:27,0.70,1.70
2021/01/11-12:11:28,0.70,1.70
2021/01/11-12:11:29,0.70,1.70
2021/01/11-12:11:30,0.60,1.50
2021/01/11-12:11:31,0.60,1.50
2021/01/11-12:11:32,0.60,1.50
2021/01/11-12:11:33,0.60,1.50
2021/01/11-12:11:34,0.60,1.50
2021/01/11-12:11:35,0.60,1.50
2021/01/11-12:11:36,0.60,1.50
2021/01/11-12:11:37,0.60,1.60
2021/01/11-12:11:38,0.70,1.60
2021/01/11-12:11:39,0.70,1.60
2021/01/11-12:11:40,0.60,1.10
2021/01/11-12:11:41,0.60,1.10
2021/01/11-12:11:42,0.60,1.10
2021/01/11-12:11:43,0.60,1.10
2021/01/11-12:11:44,0.60,1.10
2021/01/11-12:11:45,0.60,1.10
2021/01/11-12:11:46,0.60,1.10
2021/01/11-12:11:47,0.60,1.10
2021/01/11-12:11:48,0.60,1.10
2021/01/11-12:11:49,0.60,1.00
2021/01/11-12:11:50,0.60,1.00
2021/01/11-12:11:51,0.60,1.00
2021/01/11-12:11:52,0.60,1.00
2021/01/11-12:11:53,0.60,1.10
2021/01/11-12:11:54,0.60,1.00
2021/01/11-12:11:55,0.60,1.00
2021/01/11-12:11:56,0.60,1.00
2021/01/11-12:11:57,0.60,0.80
2021/01/11-12:11:58,0.60,0.80
2021/01/11-12:11:59,0.60,0.80
2021/01/11-12:12:00,0.60,0.90
2021/01/11-12:12:01,0.60,0.90
2021/01/11-12:12:02,0.60,0.90
2021/01/11-12:12:03,0.60,0.90
2021/01/11-12:12:04,0.60,0.90
2021/01/11-12:12:05,0.60,1.00
2021/01/11-12:12:06,0.60,0.90
2021/01/11-12:12:07,0.50,0.90
2021/01/11-12:12:08,0.50,0.90
2021/01/11-12:12:09,0.50,0.90
2021/01/11-12:12:10,0.50,0.90
2021/01/11-12:12:11,0.60,1.00
2021/01/11-12:12:12,0.60,1.00
2021/01/11-12:12:13,0.60,1.00
2021/01/11-12:12:14,0.60,1.00
2021/01/11-12:12:15,0.60,1.00
2021/01/11-12:12:16,0.60,1.00
2021/01/11-12:12:17,0.60,1.10
2021/01/11-12:12:18,0.60,1.00
2021/01/11-12:12:19,0.60,1.00
2021/01/11-12:12:20,0.60,1.00
2021/01/11-12:12:21,0.60,1.10
2021/01/11-12:12:22,0.60,1.10
2021/01/11-12:12:23,0.50,1.00
2021/01/11-12:12:24,0.60,1.00
2021/01/11-12:12:25,0.60,1.10
2021/01/11-12:12:26,0.60,1.00
2021/01/11-12:12:27,0.60,1.10
2021/01/11-12:12:28,0.60,1.00
2021/01/11-12:12:29,0.50,1.00
2021/01/11-12:12:30,0.50,1.00
2021/01/11-12:12:31,0.50,1.00
2021/01/11-12:12:32,0.60,1.10
2021/01/11-12:12:33,0.60,1.10
2021/01/11-12:12:34,0.60,1.00
2021/01/11-12:12:35,0.50,1.00
2021/01/11-12:12:36,0.50,1.00
2021/01/11-12:12:37,0.50,1.00
2021/01/11-12:12:38,0.50,0.90
2021/01/11-12:12:39,0.50,0.90
2021/01/11-12:12:40,0.50,0.90
2021/01/11-12:12:41,0.50,0.80
2021/01/11-12:12:42,0.50,0.80
2021/01/11-12:12:43,0.50,0.70
2021/01/11-12:12:44,0.50,0.70
2021/01/11-12:12:45,0.40,0.70
2021/01/11-12:12:46,0.50,0.70
2021/01/11-12:12:47,0.40,0.70
2021/01/11-12:12:48,0.50,0.70
2021/01/11-12:12:49,0.50,0.80
2021/01/11-12:12:50,0.50,0.80
2021/01/11-12:12:51,0.50,0.80
2021/01/11-12:12:52,0.50,0.80
2021/01/11-12:12:53,0.50,0.80
2021/01/11-12:12:54,0.50,0.80
2021/01/11-12:12:55,0.50,0.80
2021/01/11-12:12:56,0.50,0.80
2021/01/11-12:12:57,0.50,0.80
2021/01/11-12:12:58,0.50,0.80
2021/01/11-12:12:59,0.60,0.80
2021/01/11-12:13:00,0.60,0.80
2021/01/11-12:13:01,0.60,0.80
2021/01/11-12:13:02,0.60,0.70
2021/01/11-12:13:03,0.60,0.70
2021/01/11-12:13:04,0.60,0.80
2021/01/11-12:13:05,0.60,0.80
2021/01/11-12:13:06,0.60,0.90
2021/01/11-12:13:07,0.60,0.80
2021/01/11-12:13:08,0.60,0.80
2021/01/11-12:13:09,0.60,0.80
2021/01/11-12:13:10,0.60,0.80
2021/01/11-12:13:11,0.60,0.90
2021/01/11-12:13:12,0.60,0.90
2021/01/11-12:13:13,0.60,0.90
2021/01/11-12:13:14,0.60,0.90
2021/01/11-12:13:15,0.60,0.90
2021/01/11-12:13:16,0.60,0.90
2021/01/11-12:13:17,0.60,0.80
2021/01/11-12:13:18,0.60,0.80
2021/01/11-12:13:19,0.60,0.80
2021/01/11-12:13:20,0.60,0.80
2021/01/11-12:13:21,0.50,0.70
2021/01/11-12:13:22,0.50,0.80
2021/01/11-12:13:23,0.50,0.70
2021/01/11-12:13:24,0.50,0.70
2021/01/11-12:13:25,0.50,0.70
2021/01/11-12:13:26,0.50,0.80
2021/01/11-12:13:27,0.50,0.70
2021/01/11-12:13:28,0.50,0.70
2021/01/11-12:13:29,0.50,0.70
2021/01/11-12:13:30,0.50,0.70
2021/01/11-12:13:31,0.50,0.70
2021/01/11-12:13:32,0.50,0.90
2021/01/11-12:13:33,0.50,0.80
2021/01/11-12:13:34,0.50,0.80
2021/01/11-12:13:35,0.50,0.80
2021/01/11-12:13:36,0.50,0.80
2021/01/11-12:13:37,0.50,0.80
2021/01/11-12:13:38,0.50,0.90
2021/01/11-12:13:39,0.50,0.90
2021/01/11-12:13:40,0.50,0.90
2021/01/11-12:13:41,0.50,0.90
2021/01/11-12:13:42,0.50,0.80
2021/01/11-12:13:43,0.50,0.90
2021/01/11-12:13:44,0.50,0.90
2021/01/11-12:13:45,0.60,1.00
2021/01/11-12:13:46,0.60,1.00
2021/01/11-12:13:47,0.60,1.50
2021/01/11-12:13:48,0.60,1.50
2021/01/11-12:13:49,0.60,1.50
2021/01/11-12:13:50,0.50,1.40
2021/01/11-12:13:51,0.50,1.40
2021/01/11-12:13:52,0.50,1.30
2021/01/11-12:13:53,0.50,1.40
2021/01/11-12:13:54,0.50,1.40
2021/01/11-12:13:55,0.50,1.30
2021/01/11-12:13:56,0.50,1.40
2021/01/11-12:13:57,0.50,1.40
2021/01/11-12:13:58,0.50,1.40
2021/01/11-12:13:59,0.50,1.40
2021/01/11-12:14:00,0.60,1.50
2021/01/11-12:14:01,0.60,1.50
2021/01/11-12:14:02,0.50,1.30
2021/01/11-12:14:03,0.50,1.30
2021/01/11-12:14:04,0.50,1.30
2021/01/11-12:14:05,0.50,1.20
2021/01/11-12:14:06,0.50,1.20
2021/01/11-12:14:07,0.50,1.20
2021/01/11-12:14:08,0.50,1.20
2021/01/11-12:14:09,0.50,1.20
2021/01/11-12:14:10,0.50,1.20
2021/01/11-12:14:11,0.50,1.20
2021/01/11-12:14:12,0.50,1.30
2021/01/11-12:14:13,0.50,1.30
2021/01/11-12:14:14,0.50,1.40
2021/01/11-12:14:15,0.50,1.40
2021/01/11-12:14:16,0.50,1.40
2021/01/11-12:14:17,0.50,0.90
2021/01/11-12:14:18,0.50,1.10
2021/01/11-12:14:19,0.50,1.10
2021/01/11-12:14:20,0.60,1.20
2021/01/11-12:14:21,0.60,1.20
2021/01/11-12:14:22,0.60,1.20
2021/01/11-12:14:23,0.60,1.20
