time,pm2.5,pm10,fan
2021/01/20-19:23:47,7.30,34.60,3
2021/01/20-19:23:48,7.40,35.20,3
2021/01/20-19:23:49,7.50,35.80,3
2021/01/20-19:23:50,7.60,35.60,3
2021/01/20-19:23:51,7.60,36.50,3
2021/01/20-19:23:52,7.70,37.60,3
2021/01/20-19:23:53,7.90,38.50,3
2021/01/20-19:23:54,8.10,39.40,3
2021/01/20-19:23:55,8.20,39.70,3
2021/01/20-19:23:56,8.30,40.10,3
2021/01/20-19:23:57,8.30,39.30,3
2021/01/20-19:23:58,8.30,40.30,3
2021/01/20-19:23:59,8.40,42.10,3
2021/01/20-19:24:00,8.60,44.40,3
2021/01/20-19:24:01,8.70,45.30,3
2021/01/20-19:24:02,8.90,46.60,3
2021/01/20-19:24:03,9.20,48.10,3
2021/01/20-19:24:04,9.40,49.40,3
2021/01/20-19:24:05,9.80,51.70,3
2021/01/20-19:24:06,10.10,51.80,3
2021/01/20-19:24:07,10.70,57.20,3
2021/01/20-19:24:08,11.30,58.50,3
2021/01/20-19:24:09,11.70,60.70,3
2021/01/20-19:24:10,12.50,66.00,3
2021/01/20-19:24:11,13.00,68.80,3
2021/01/20-19:24:12,13.40,72.40,3
2021/01/20-19:24:13,14.10,77.20,3
2021/01/20-19:24:14,14.60,79.80,3
2021/01/20-19:24:15,15.10,85.80,3
2021/01/20-19:24:16,15.50,87.40,3
2021/01/20-19:24:17,15.70,88.50,3
2021/01/20-19:24:18,16.10,90.30,3
2021/01/20-19:24:19,16.20,91.30,3
2021/01/20-19:24:20,16.20,91.90,3
2021/01/20-19:24:21,16.40,93.10,3
2021/01/20-19:24:22,16.50,93.40,3
2021/01/20-19:24:23,16.50,93.00,3
2021/01/20-19:24:24,16.40,92.80,3
2021/01/20-19:24:25,16.30,92.80,3
2021/01/20-19:24:26,16.40,94.50,3
2021/01/20-19:24:27,16.60,96.20,3
2021/01/20-19:24:28,16.90,96.80,3
2021/01/20-19:24:29,17.00,95.80,3
2021/01/20-19:24:30,17.00,93.70,3
2021/01/20-19:24:31,17.10,94.70,3
2021/01/20-19:24:32,17.20,96.30,3
2021/01/20-19:24:33,17.20,95.80,3
2021/01/20-19:24:34,17.20,95.70,3
2021/01/20-19:24:35,17.30,94.60,3
2021/01/20-19:24:36,17.20,94.60,3
2021/01/20-19:24:37,17.00,90.70,3
2021/01/20-19:24:38,16.80,91.00,3
2021/01/20-19:24:39,16.70,91.20,3
2021/01/20-19:24:40,16.30,89.40,3
2021/01/20-19:24:41,16.00,87.80,3
2021/01/20-19:24:42,15.80,85.20,3
2021/01/20-19:24:43,15.40,81.70,3
2021/01/20-19:24:44,15.20,81.70,3
2021/01/20-19:24:45,14.80,77.50,3
2021/01/20-19:24:46,14.60,75.70,3
2021/01/20-19:24:47,14.60,75.90,3
2021/01/20-19:24:48,14.50,74.80,3
2021/01/20-19:24:49,14.50,74.60,3
2021/01/20-19:24:50,14.60,77.10,3
2021/01/20-19:24:51,14.60,75.50,3
2021/01/20-19:24:52,14.70,76.70,3
2021/01/20-19:24:53,14.80,77.40,3
2021/01/20-19:24:54,14.80,77.50,3
2021/01/20-19:24:55,15.10,80.90,3
2021/01/20-19:24:56,15.20,80.30,3
2021/01/20-19:24:57,15.10,80.00,3
2021/01/20-19:24:58,15.00,79.70,3
2021/01/20-19:24:59,15.00,79.90,3
2021/01/20-19:25:00,14.80,79.70,3
2021/01/20-19:25:01,14.70,78.00,3
2021/01/20-19:25:02,14.60,76.10,3
2021/01/20-19:25:03,14.60,76.60,3
2021/01/20-19:25:04,14.50,76.50,3
2021/01/20-19:25:05,14.20,76.60,3
2021/01/20-19:25:06,14.10,75.40,3
2021/01/20-19:25:07,14.00,75.20,3
2021/01/20-19:25:08,14.00,76.60,3
2021/01/20-19:25:09,13.90,74.60,3
2021/01/20-19:25:10,13.90,74.60,3
2021/01/20-19:25:11,13.90,74.90,3
2021/01/20-19:25:12,13.90,73.70,3
2021/01/20-19:25:13,13.90,73.10,3
2021/01/20-19:25:14,13.90,72.80,3
2021/01/20-19:25:15,13.80,71.70,3
2021/01/20-19:25:16,14.00,75.40,3
2021/01/20-19:25:17,13.90,75.80,3
2021/01/20-19:25:18,13.80,75.30,3
2021/01/20-19:25:19,13.90,74.90,3
2021/01/20-19:25:20,13.90,74.00,3
2021/01/20-19:25:21,14.00,75.80,3
2021/01/20-19:25:22,13.90,74.90,3
2021/01/20-19:25:23,14.10,75.10,3
2021/01/20-19:25:24,14.40,77.80,3
2021/01/20-19:25:25,14.30,76.40,3
2021/01/20-19:25:26,14.60,80.20,3
2021/01/20-19:25:27,14.70,79.90,3
2021/01/20-19:25:28,14.80,81.60,3
2021/01/20-19:25:29,15.00,82.20,3
2021/01/20-19:25:30,15.40,83.10,3
2021/01/20-19:25:31,15.60,84.30,3
